organisation,reference,name,documentation-url,document-url,design-code-status,design-code-categories,notes,entry-date,start-date,end-date
local-authority-eng:POR,1,"Portsmouth City Centre (Arundel Street - Station Street) Design Code",,https://docs.google.com/document/d/1Kq-UzXrD7uJlP71A5GiVfylo1so4hPr6/edit?usp=sharing&ouid=101789898544862055688,draft,,,2022-04-06T00:00:00Z,,
local-authority-eng:POR,2,"Portsmouth Estates Design Code",,,draft,,,2022-04-06T00:00:00Z,,
